eid,EPS,doi
2-s2.0-73549095783,0,
2-s2.0-29544432604,0,
2-s2.0-85089601096,0,
2-s2.0-85086899888,0,
2-s2.0-85113205003,0,
2-s2.0-85049058874,0,
2-s2.0-84869152276,0,
2-s2.0-85020022233,0,
2-s2.0-85033588245,0,
2-s2.0-84957587938,0,
2-s2.0-85065413478,0,
2-s2.0-85095421021,0,
2-s2.0-85112492442,0,
2-s2.0-70349625828,0,
2-s2.0-85108010058,0,
2-s2.0-84922243348,0,
2-s2.0-85117330623,0,
2-s2.0-85127256850,0,
2-s2.0-84869176993,0,
2-s2.0-84979584129,0,
2-s2.0-85071397242,0,
2-s2.0-85110335267,0,
2-s2.0-84946867381,1,
2-s2.0-85045932589,0,
2-s2.0-84969262136,0,
2-s2.0-85078771558,0,
2-s2.0-85079628308,0,
2-s2.0-84923238562,0,
2-s2.0-85124585808,0,
2-s2.0-84928169051,0,
2-s2.0-85096188727,0,
2-s2.0-84988659990,0,
2-s2.0-85016960141,0,
2-s2.0-85042117195,0,
2-s2.0-84855476545,0,
2-s2.0-85052871679,0,
2-s2.0-85108179866,0,
2-s2.0-85125401707,0,
2-s2.0-85076496610,0,
2-s2.0-84964299694,0,
2-s2.0-84943592654,0,
2-s2.0-85008199365,0,
2-s2.0-84982166045,0,
2-s2.0-85097080539,0,
2-s2.0-85062683762,0,
2-s2.0-85078676403,0,
2-s2.0-85077675261,0,
2-s2.0-85082740981,0,
2-s2.0-84995933245,0,
2-s2.0-84865241676,0,
2-s2.0-84865308098,0,
2-s2.0-85070617864,0,
2-s2.0-85110685814,0,
2-s2.0-79959950210,0,
2-s2.0-85084064609,0,
2-s2.0-85047630768,0,
2-s2.0-85137275184,0,
2-s2.0-85068049600,0,
2-s2.0-85100112972,0,
2-s2.0-84880812843,0,
2-s2.0-84995701641,0,
2-s2.0-85091478288,0,
2-s2.0-0031742090,0,
2-s2.0-70349205405,0,
2-s2.0-84964298697,0,
2-s2.0-85127594949,0,
2-s2.0-84982949067,0,
2-s2.0-85081371832,0,
2-s2.0-85081277770,0,
2-s2.0-85098543976,0,
2-s2.0-84978255408,0,
