,eid,EPS
0,2-s2.0-44649183305,1
1,2-s2.0-73549095783,0
2,2-s2.0-29544432604,0
3,2-s2.0-85089601096,0
4,2-s2.0-85086899888,0
5,2-s2.0-85113205003,0
6,2-s2.0-85049058874,0
7,2-s2.0-84869152276,0
8,2-s2.0-85020022233,0
9,2-s2.0-85033588245,0
10,2-s2.0-84957587938,0
11,2-s2.0-85065413478,0
12,2-s2.0-85095421021,0
13,2-s2.0-85112492442,0
14,2-s2.0-70349625828,0
15,2-s2.0-85100016689,1
16,2-s2.0-85108010058,0
17,2-s2.0-84922243348,0
18,2-s2.0-85117330623,0
19,2-s2.0-85127256850,0
20,2-s2.0-84869176993,0
21,2-s2.0-84979584129,0
22,2-s2.0-85071397242,0
23,2-s2.0-85110335267,0
24,2-s2.0-84946867381,1
25,2-s2.0-85045932589,0
26,2-s2.0-84969262136,0
27,2-s2.0-85078771558,0
28,2-s2.0-85079628308,0
29,2-s2.0-84923238562,0
30,2-s2.0-85124585808,0
31,2-s2.0-84964228089,1
32,2-s2.0-84928169051,0
33,2-s2.0-85096188727,0
34,2-s2.0-84988659990,0
35,2-s2.0-85016960141,0
36,2-s2.0-85042117195,0
37,2-s2.0-84855476545,0
38,2-s2.0-85052871679,0
39,2-s2.0-85108179866,0
40,2-s2.0-84892722234,1
41,2-s2.0-85125401707,0
42,2-s2.0-85076496610,0
43,2-s2.0-84964299694,0
44,2-s2.0-84943592654,0
45,2-s2.0-85008199365,0
46,2-s2.0-84982166045,0
47,2-s2.0-85097080539,0
48,2-s2.0-85062683762,0
49,2-s2.0-85078676403,0
50,2-s2.0-85077675261,0
51,2-s2.0-85082740981,0
52,2-s2.0-84995933245,0
53,2-s2.0-84865241676,0
54,2-s2.0-84865308098,0
55,2-s2.0-85070617864,0
56,2-s2.0-85110685814,0
57,2-s2.0-79959950210,0
58,2-s2.0-85084064609,0
59,2-s2.0-85047630768,0
60,2-s2.0-85137275184,0
61,2-s2.0-85068049600,0
62,2-s2.0-85100112972,0
63,2-s2.0-84880812843,0
64,2-s2.0-84995701641,0
65,2-s2.0-85091478288,0
66,2-s2.0-0031742090,0
67,2-s2.0-70349205405,0
68,2-s2.0-84964298697,0
69,2-s2.0-85127594949,0
70,2-s2.0-84982949067,0
71,2-s2.0-85081371832,0
72,2-s2.0-85081277770,0
73,2-s2.0-85098543976,0
74,2-s2.0-84978255408,0
75,2-s2.0-84961908096,1
76,2-s2.0-85137626983,1
77,2-s2.0-85054578695,0
78,2-s2.0-85082681902,0
79,2-s2.0-85031426312,0
80,2-s2.0-85137043587,0
81,2-s2.0-77957885036,0
82,2-s2.0-85096439679,0
83,2-s2.0-85073771926,0
84,2-s2.0-85084520736,0
85,2-s2.0-85104239433,0
86,2-s2.0-85087523672,0
87,2-s2.0-85116002511,1
88,2-s2.0-85103540999,0
89,2-s2.0-85106494409,1
90,2-s2.0-85124482578,0
91,2-s2.0-84982217635,0
92,2-s2.0-85114632288,0
93,2-s2.0-85120971707,0
94,2-s2.0-85086232983,0
95,2-s2.0-85091208025,0
96,2-s2.0-85062106999,0
97,2-s2.0-85079015503,0
98,2-s2.0-85120061383,0
99,2-s2.0-85112435368,0
100,2-s2.0-85058939443,0
101,2-s2.0-85087941370,1
102,2-s2.0-84930474614,0
103,2-s2.0-84906751218,0
104,2-s2.0-85139154523,0
105,2-s2.0-85122473586,0
106,2-s2.0-85059315488,0
107,2-s2.0-85090335789,0
108,2-s2.0-85100290396,0
109,2-s2.0-85079051248,0
110,2-s2.0-85082718091,0
111,2-s2.0-85077857169,0
112,2-s2.0-85060034431,0
113,2-s2.0-85117391596,0
114,2-s2.0-85078758712,0
115,2-s2.0-85016438510,0
116,2-s2.0-85136290839,0
117,2-s2.0-85049808114,0
118,2-s2.0-85127322571,1
119,2-s2.0-85081116969,0
120,2-s2.0-85044280234,0
121,2-s2.0-85027958458,0
122,2-s2.0-85067349272,0
123,2-s2.0-85111421773,0
124,2-s2.0-84880783429,0
125,2-s2.0-84879845680,0
126,2-s2.0-85071727340,0
127,2-s2.0-85094180248,0
128,2-s2.0-85084475658,0
129,2-s2.0-85136352759,0
130,2-s2.0-85096001686,0
131,2-s2.0-85027930372,0
132,2-s2.0-84957671952,0
133,2-s2.0-84991329243,0
134,2-s2.0-85008873134,0
135,2-s2.0-85085892673,0
136,2-s2.0-84992202047,0
137,2-s2.0-85038838499,0
138,2-s2.0-85042178320,0
139,2-s2.0-85047002380,0
140,2-s2.0-85125704855,0
141,2-s2.0-85052221032,0
142,2-s2.0-85073015082,0
143,2-s2.0-85107390304,0
144,2-s2.0-85118572284,0
145,2-s2.0-85079698032,1
146,2-s2.0-84906502629,1
147,2-s2.0-85115874359,0
148,2-s2.0-85127244816,0
149,2-s2.0-84863631253,0
150,2-s2.0-85060865472,0
151,2-s2.0-85103641862,0
152,2-s2.0-85125836975,0
153,2-s2.0-85068471984,0
154,2-s2.0-85076851961,0
155,2-s2.0-84878601646,0
156,2-s2.0-15944371579,0
157,2-s2.0-85054626953,0
158,2-s2.0-85064198082,0
159,2-s2.0-85116518025,0
160,2-s2.0-85028954406,0
161,2-s2.0-84859950786,0
162,2-s2.0-85052833978,0
163,2-s2.0-84904039106,0
164,2-s2.0-48749133602,0
165,2-s2.0-85012297936,0
166,2-s2.0-85137979323,0
167,2-s2.0-84973154424,0
168,2-s2.0-85105104508,0
169,2-s2.0-85007342660,0
170,2-s2.0-85068765295,0
171,2-s2.0-84925691908,0
172,2-s2.0-84924287555,0
173,2-s2.0-85116329003,0
174,2-s2.0-84856580214,0
175,2-s2.0-85062276981,0
176,2-s2.0-84890312109,0
177,2-s2.0-0041821594,0
178,2-s2.0-85125420616,0
179,2-s2.0-85102521888,0
180,2-s2.0-85107653226,0
181,2-s2.0-84859109180,0
182,2-s2.0-84859158231,0
183,2-s2.0-85132746144,0
184,2-s2.0-85043584858,0
185,2-s2.0-85048707595,1
186,2-s2.0-77957862455,0
187,2-s2.0-85113513788,1
188,2-s2.0-70449424284,0
189,2-s2.0-85031499070,0
190,2-s2.0-84884595314,0
191,2-s2.0-85097711050,0
192,2-s2.0-85079058338,0
193,2-s2.0-85120831208,0
194,2-s2.0-85098054888,0
195,2-s2.0-85088591763,0
196,2-s2.0-85126093142,1
197,2-s2.0-85127628812,0
198,2-s2.0-85069600733,0
199,2-s2.0-85076619200,0
200,2-s2.0-85100904090,0
201,2-s2.0-85060084376,0
202,2-s2.0-85103541812,0
203,2-s2.0-85075869477,0
204,2-s2.0-85084185337,0
